nameDisplay,description,abv,ibu,originalGravity,style_name,style_category_name,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_ogMax,style_fgMin,style_fgMax,brewery_name_beer,geometry_location_lat,geometry_location_lng,location
Bearwalker Brown,"The recipe for Bearwalker was among one of the first recipes written by Brewmaster Bailey, years ago. Bearwalker is a maple brown, and the recipe pays homage to Bailey’s home state of Vermont as we use 100% Vermont Maple Syrup in the brew. The result is a distinctive maple flavor that truly sets this beer apart and warms your belly.",,,,American-Style Brown Ale,North American Origin Ales,25.0,45.0,4.0,6.4,15.0,26.0,1.04,,1.01,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Bearwalker Brown,"The recipe for Bearwalker was among one of the first recipes written by Brewmaster Bailey, years ago. Bearwalker is a maple brown, and the recipe pays homage to Bailey’s home state of Vermont as we use 100% Vermont Maple Syrup in the brew. The result is a distinctive maple flavor that truly sets this beer apart and warms your belly.",,,,American-Style Brown Ale,North American Origin Ales,25.0,45.0,4.0,6.4,15.0,26.0,1.04,,1.01,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Bearwalker Maple Brown (Four Roses Barrel-Aged),,,,,Wood- and Barrel-Aged Dark Beer,Hybrid/mixed Beer,,,3.75,6.5,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Bearwalker Maple Brown (Four Roses Barrel-Aged),,,,,Wood- and Barrel-Aged Dark Beer,Hybrid/mixed Beer,,,3.75,6.5,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Bearwalker Maple Nut (Eagle Rare Barrel Aged),,,,,Belgian-Style White (or Wit) / Belgian-Style Wheat,Belgian And French Origin Ales,10.0,17.0,4.8,5.2,2.0,4.0,1.044,,1.006,1.01,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Bearwalker Maple Nut (Eagle Rare Barrel Aged),,,,,Belgian-Style White (or Wit) / Belgian-Style Wheat,Belgian And French Origin Ales,10.0,17.0,4.8,5.2,2.0,4.0,1.044,,1.006,1.01,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Belle Meade Bourbon Sour,,,,,Wood- and Barrel-Aged Sour Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Belle Meade Bourbon Sour,,,,,Wood- and Barrel-Aged Sour Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Betsy's Revenge,,4.5,50.0,,Pumpkin Beer,Hybrid/mixed Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Betsy's Revenge,,4.5,50.0,,Pumpkin Beer,Hybrid/mixed Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
